Timestamp,Which course are you currently enrolled in?,What motivated you to seek a computing class at CCM? [It’s a required class for the degree I’m seeking],What motivated you to seek a computing class at CCM? [To keep current in computing skills],What motivated you to seek a computing class at CCM? [Career Advancement],What motivated you to seek a computing class at CCM? [Career Change],What motivated you to seek a computing class at CCM? [Professional Development],What motivated you to seek a computing class at CCM? [Job Displacement],What motivated you to seek a computing class at CCM? [Relocation],What motivated you to seek a computing class at CCM? [IT Industry Certifications],What motivated you to seek a computing class at CCM? [Financial],What motivated you to seek a computing class at CCM? [Personal Enrichment],What motivated you to seek a computing class at CCM? [Curiosity],"Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Open House]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Instant Decision Day]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [On-Campus Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [TItan's Tuesday Virtual Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Women Who Dare]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Regional College Fair]",To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Middle/High school computing class],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Middle/High school computing related club],"To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Computing-related competitions (e.g., Robotics competition, Lego competition, Cybersecurity, Programming)]",To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Afterschool computing-related camp/program],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Summer computing related camp/program],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [An AP computing class],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [A dual enrollment computing class],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Family or friend influence],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Family or friend working in the computing field],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [High school teacher or guidance counselor],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Employer influence],How did you hear about County College of Morris  [CCM Web site],How did you hear about County College of Morris  [Billboard],How did you hear about County College of Morris  [Television],How did you hear about County College of Morris  [Radio],How did you hear about County College of Morris  [Social Media],How did you hear about County College of Morris  [Community Event],How did you hear about County College of Morris  [Family member or friend],How did you hear about County College of Morris  [Employer],How did you hear about County College of Morris  [Current student],How did you hear about County College of Morris  [Alumni],How did you hear about County College of Morris  [High School],To what extent did the following impact your decision to attend County College of Morris? [Affordable cost],To what extent did the following impact your decision to attend County College of Morris? [Location/convenience],To what extent did the following impact your decision to attend County College of Morris? [Choice of programs],To what extent did the following impact your decision to attend County College of Morris? [Online offerings],To what extent did the following impact your decision to attend County College of Morris? [Family/friend referral],To what extent did the following impact your decision to attend County College of Morris? [Faculty/staff],To what extent did the following impact your decision to attend County College of Morris? [College reputation],To what extent did the following impact your decision to attend County College of Morris? [Scholarships],To what extent did the following impact your decision to attend County College of Morris? [Transfer student],To what extent did the following impact your decision to attend County College of Morris? [Small class sizes],To what extent did the following impact your decision to attend County College of Morris? [Extra curricula opportunities],What degree program are you currently enrolled in?,Did you receive information about our computing course from any of the following sources? [High school guidance counselor],Did you receive information about our computing course from any of the following sources? [CCM Information Technologies Website],Did you receive information about our computing course from any of the following sources? [CCM Admissions],Did you receive information about our computing course from any of the following sources? [CCM advisor/counselor],Did you receive information about our computing course from any of the following sources? [Employer],Did you receive information about our computing course from any of the following sources? [Other],"On a scale of 1 to 5, with 1 being not at all interested and 5 being extremely interested, how interested are you taking more courses in Computer Science, Information Technology or Game Development?","If you answered that you were interested in taking more computing classes, which ones interest you most? [Web Development]","If you answered that you were interested in taking more computing classes, which ones interest you most? [CyberSecurity]","If you answered that you were interested in taking more computing classes, which ones interest you most? [App Development]","If you answered that you were interested in taking more computing classes, which ones interest you most? [Data Analytics]","If you answered that you were interested in taking more computing classes, which ones interest you most? [Machine Learning/Artificial Intelligence]","If you answered that you were interested in taking more computing classes, which ones interest you most? [Computer Programming]","If you answered that you were interested in taking more computing classes, which ones interest you most? [Game Design]","If you answered that you were interested in taking more computing classes, which ones interest you most? [Hardware Installation & Repair]",Gender,Race/ethnicity,Age 
2024/09/10 10:47:35 AM AST,CMP 126 Computer Technology and Applications,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No Impact,No Impact,High Impact,N/A,N/A,N/A,N/A,Some Impact,N/A,High Impact,N/A,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Liberal Arts,Yes,Yes,Yes,Yes,No,Don't recall,2,Yes,Yes,No,No,No,No,No,No,Prefer not to say,Hispanic or Latino;Black/African American;White/Caucasian;Multi-Racial,19-20
2024/09/10 11:00:05 AM AST,CMP 126 Computer Technology and Applications,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,N/A,High Impact,High Impact,child psychology ,No,No,No,No,No,No,3,No,Yes,Yes,Yes,Yes,Yes,No,No,Woman,Hispanic or Latino,19-20
2024/09/10 11:02:51 AM AST,CMP 126 Computer Technology and Applications,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,N/A,N/A,No Impact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,No,No,No,No,No,No,No,N/A,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,N/A,No Impact,No Impact,No Impact,Broadcasting Arts and Technology,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,5,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Man,Choose not to reply,18 and younger
2024/09/10 11:05:25 AM AST,CMP 126 Computer Technology and Applications,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Some Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,analyst,No,No,Don't recall,No,Yes,No,3,No,No,No,Yes,No,No,Yes,No,Man,Hispanic or Latino,19-20
2024/09/10 8:37:36 PM AST,CMP 101 Computer Information Literacy,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,N/A,N/A,N/A,N/A,N/A,Some Impact,N/A,N/A,Some Impact,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Journalism,No,No,Yes,Yes,Don't recall,Don't recall,3,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
2024/09/10 9:29:27 PM AST,CMP 101 Computer Information Literacy,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Liberal Arts,Yes,Yes,No,Yes,No,No,3,Yes,No,Yes,No,No,No,Yes,No,Woman,White/Caucasian,19-20
2024/09/10 10:52:37 PM AST,CMP 101 Computer Information Literacy,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Not Sure,No,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,Some Impact,Some Impact,High Impact,N/A,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Early Childhood Education,No,No,No,No,No,Yes,3,No,No,No,No,No,No,Yes,No,Woman,Hispanic or Latino,19-20
2024/09/11 10:54:10 AM AST,CMP 101 Computer Information Literacy,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Some Impact,No Impact,High Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Nursing,No,No,No,Yes,No,No,3,No,No,No,No,No,No,No,No,Woman,Hispanic or Latino;Black/African American,18 and younger
2024/09/11 12:40:52 PM AST,CMP 126 Computer Technology and Applications,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Liberal Arts,No,No,No,Yes,No,No,2,No,No,No,Yes,No,No,No,Yes,Woman,White/Caucasian,19-20
2024/09/11 7:06:45 PM AST,CMP 101 Computer Information Literacy,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Liberal Arts,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
